Titre,Nombre de pièces,Ville,Prix,Esesntiel,autre,Titre_,nb_pieces_,prix_,Chambres,Surface_m2,Pieces,Salle_de_bain,Sejour_m2,Terrain_m2,Alarme,Place de parking,Jardin privatif,Cave,Cheminée,Climatisation,Dépendance,Garage,Gardien,Grenier,Meublé,Piscine,Terrasse,Balcon,Étage
Appartement à vendre,"2 pièces •                            41,43 m2",Vigneux-sur-Seine,149 000 €,"['2 pièces', 'Surface 41,43 m²', '1 chambre', '1 salle de bain/eau', 'Séjour 18,15 m²']","['Ascenseur', '1 place de parking']",Appartement,2.0,149000,,41.0,2.0,1.0,18.0,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,
Maison à vendre,5 pièces •                            126 m2,Verrières-le-Buisson,695 000 €,"['5 pièces', 'Surface 126 m²', '3 chambres', '2 salles de bain/eau', 'Terrain 878 m²', 'Séjour 35 m²']","['Grenier', 'Cheminée', 'Alarme', 'Terrasse', 'Avec jardin privatif']",Maison,5.0,695000,3.0,126.0,5.0,2.0,35.0,878.0,True,False,True,False,True,False,False,False,False,True,False,False,True,False,
Appartement à vendre,"3 pièces •                            67,50 m2",Sainte-Geneviève-des-Bois,350 000 €,"['3 pièces', 'Surface 67,50 m²', '2 chambres', '1 salle de bain/eau', 'Séjour 31,90 m²']","['Ascenseur', 'Terrasse', 'Balcon', 'Bâtiment composé de 3 étages', 'Étage 2']",Appartement,3.0,350000,2.0,67.0,3.0,1.0,31.0,,False,False,False,False,False,False,False,False,False,False,False,False,True,True,3.0
Appartement à vendre,"2 pièces •                            42,10 m2",Sainte-Geneviève-des-Bois,235 000 €,"['2 pièces', 'Surface 42,10 m²', '1 chambre', '1 salle de bain/eau', 'Séjour 21,40 m²']","['Ascenseur', 'Balcon', 'Bâtiment composé de 3 étages', 'Étage 3']",Appartement,2.0,235000,,42.0,2.0,1.0,21.0,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,3.0
Appartement à vendre,"2 pièces •                            49,70 m2",Sainte-Geneviève-des-Bois,255 000 €,"['2 pièces', 'Surface 49,70 m²', '1 chambre', '1 salle de bain/eau', 'Séjour 23,50 m²']","['Ascenseur', 'Balcon', 'Bâtiment composé de 3 étages', 'Étage 1']",Appartement,2.0,255000,,49.0,2.0,1.0,23.0,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,3.0
Maison à vendre,2 pièces •                            51 m2,Viry-Châtillon,190 000 €,"['2 pièces', 'Surface 51 m²', '1 chambre', '1 salle de bain/eau', 'Terrain 378 m²']","['Terrasse', 'Dépendance', 'Avec jardin privatif']",Maison,2.0,190000,,51.0,2.0,1.0,,378.0,False,False,True,False,False,False,True,False,False,False,False,False,True,False,
Maison à vendre,4 pièces •,Montgeron,400 000 €,"['4 pièces', 'Surface 80 m²', '3 chambres', 'Terrain 631 m²', 'Séjour 11 m²']","['Alarme', 'Terrasse', 'Cave', '1 place de parking']",Maison,4.0,400000,3.0,80.0,4.0,,11.0,631.0,True,True,False,True,False,False,False,False,False,False,False,False,True,False,
Maison à vendre,4 pièces •,Draveil,393 300 €,"['4 pièces', 'Surface 97,28 m²', '3 chambres', '1 salle de bain/eau', 'Terrain 365 m²', 'Séjour 31 m²']","['Cheminée', 'Terrasse', 'Garage', '1 place de parking']",Maison,4.0,393300,3.0,97.0,4.0,1.0,31.0,365.0,False,True,False,False,True,False,False,True,False,False,False,False,True,False,
Maison à vendre,4 pièces •                            75 m2,Savigny-sur-Orge,265 000 €,"['4 pièces', 'Surface 75 m²', '3 chambres', '1 salle de bain/eau', 'Terrain 360 m²']","['Grenier', 'Balcon', 'Cave', 'Avec jardin privatif', '1 place de parking']",Maison,4.0,265000,3.0,75.0,4.0,1.0,,360.0,False,True,True,True,False,False,False,False,False,True,False,False,False,True,
Appartement à vendre,"4 pièces •                            79,03 m2",Viry-Châtillon,258 000 €,"['4 pièces', 'Surface 79,03 m²', '2 chambres', '1 salle de bain/eau', 'Terrain 48 m²', 'Séjour 30,75 m²']","['Ascenseur', 'Terrasse', 'Avec jardin privatif', 'Bâtiment composé de 6 étages']",Appartement,4.0,258000,2.0,79.0,4.0,1.0,30.0,48.0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,6.0
Maison à vendre,5 pièces •,Angerville,113 400 €,"['5 pièces', 'Surface 154 m²', '4 chambres', '2 salles de bain/eau', 'Terrain 284 m²', 'Séjour 34,30 m²']","['Terrasse', 'Garage', 'Dépendance', 'Cave', 'Avec jardin privatif', '1 place de parking']",Maison,5.0,113400,4.0,154.0,5.0,2.0,34.0,284.0,False,True,True,True,False,False,True,True,False,False,False,False,True,False,
Appartement à vendre,"2 pièces •                            49,30 m2",Sainte-Geneviève-des-Bois,265 000 €,"['2 pièces', 'Surface 49,30 m²', '1 chambre', '1 salle de bain/eau', 'Terrain 51 m²', 'Séjour 23,50 m²']","['Ascenseur', 'Terrasse', 'Avec jardin privatif', 'Bâtiment composé de 3 étages']",Appartement,2.0,265000,,49.0,2.0,1.0,23.0,51.0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,3.0
Maison à vendre,"6 pièces •                            206,15 m2",Épinay-sur-Orge,470 000 €,"['6 pièces', '4 chambres', '2 salles de bain/eau', 'Terrain 898 m²', 'Séjour 72,80 m²']","['Alarme', 'Terrasse', 'Garage', 'Avec jardin privatif', '1 place de parking']",Maison,6.0,470000,4.0,,6.0,2.0,72.0,898.0,True,True,True,False,False,False,False,True,False,False,False,False,True,False,
Appartement à vendre,"4 pièces •                            84,46 m2",Athis-Mons,229 900 €,"['4 pièces', 'Surface 84,46 m²', '3 chambres', '1 salle de bain/eau']","['Balcon', '1 place de parking', 'Bâtiment composé de 3 étages', 'Étage 1']",Appartement,4.0,229900,3.0,84.0,4.0,1.0,,,False,True,False,False,False,False,False,False,False,False,False,False,False,True,3.0
Maison à vendre,4 pièces •,Épinay-sur-Orge,277 000 €,"['4 pièces', 'Surface 67 m²', '3 chambres', '1 salle de bain/eau', 'Terrain 141 m²', 'Séjour 14 m²']","['Grenier', 'Terrasse', 'Garage', 'Avec jardin privatif']",Maison,4.0,277000,3.0,67.0,4.0,1.0,14.0,141.0,False,False,True,False,False,False,False,True,False,True,False,False,True,False,
Appartement à vendre,"3 pièces •                            65,70 m2",Sainte-Geneviève-des-Bois,340 000 €,"['3 pièces', 'Surface 65,70 m²', '2 chambres', '1 salle de bain/eau', 'Séjour 25,90 m²']","['Ascenseur', 'Balcon', 'Bâtiment composé de 3 étages', 'Étage 3']",Appartement,3.0,340000,2.0,65.0,3.0,1.0,25.0,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,3.0
Appartement à vendre,"3 pièces •                            67,50 m2",Sainte-Geneviève-des-Bois,360 000 €,"['3 pièces', 'Surface 67,50 m²', '2 chambres', '1 salle de bain/eau', 'Séjour 31,90 m²']","['Ascenseur', 'Terrasse', 'Balcon', 'Bâtiment composé de 3 étages', 'Étage 1']",Appartement,3.0,360000,2.0,67.0,3.0,1.0,31.0,,False,False,False,False,False,False,False,False,False,False,False,False,True,True,3.0
Appartement à vendre,1 pièce •                            29 m2,Les Ulis,136 000 €,"['1 pièce', 'Surface 29 m²', '1 salle de bain/eau', 'Séjour 20 m²']","['Ascenseur', 'Garage', 'Étage 2']",Appartement,1.0,136000,,29.0,1.0,1.0,20.0,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,2.0
Appartement à vendre,"2 pièces •                            43,51 m2",Corbeil-Essonnes,109 000 €,"['2 pièces', 'Surface 43,51 m²', '1 chambre', '1 salle de bain/eau']","['Ascenseur', 'Balcon', '1 place de parking']",Appartement,2.0,109000,,43.0,2.0,1.0,,,False,True,False,False,False,False,False,False,False,False,False,False,False,True,
Maison à vendre,5 pièces •,La Ville-du-Bois,429 000 €,"['5 pièces', 'Surface 157,57 m²', '4 chambres', '2 salles de bain/eau', 'Terrain 663 m²']","['Cheminée', 'Alarme', 'Terrasse', 'Garage', '1 place de parking']",Maison,5.0,429000,4.0,157.0,5.0,2.0,,663.0,True,True,False,False,True,False,False,True,False,False,False,False,True,False,
Appartement à vendre,"4 pièces •                            72,65 m2",Ris-Orangis,134 000 €,"['4 pièces', 'Surface 72,65 m²', '2 chambres', '1 salle de bain/eau', 'Séjour 27,25 m²']","['Ascenseur', 'Gardien', 'Balcon', 'Cave', 'Bâtiment composé de 15 étages', 'Étage 14']",Appartement,4.0,134000,2.0,72.0,4.0,1.0,27.0,,False,False,False,True,False,False,False,False,True,False,False,False,False,True,15.0
Appartement à vendre,"1 pièce •                            31,66 m2",Évry,105 000 €,"['1 pièce', 'Surface 31,66 m²', '1 salle de bain/eau']","['Ascenseur', 'Balcon', 'Garage']",Appartement,1.0,105000,,31.0,1.0,1.0,,,False,False,False,False,False,False,False,True,False,False,False,False,False,True,
Maison à vendre,4 pièces •,Morangis,283 000 €,"['4 pièces', 'Surface 70 m²', '3 chambres', '1 salle de bain/eau', 'Terrain 373 m²', 'Séjour 21 m²']","['Grenier', 'Balcon', 'Cave', 'Avec jardin privatif']",Maison,4.0,283000,3.0,70.0,4.0,1.0,21.0,373.0,False,False,True,True,False,False,False,False,False,True,False,False,False,True,
Appartement à vendre,"2 pièces •                            56,67 m2",Massy,205 725 €,"['2 pièces', 'Surface 56,67 m²', '1 chambre', '1 salle de bain/eau']","['Balcon', 'Garage', 'Cave', 'Étage 1']",Appartement,2.0,205725,,56.0,2.0,1.0,,,False,False,False,True,False,False,False,True,False,False,False,False,False,True,1.0
Maison à vendre,4 pièces •,Évry,254 000 €,"['4 pièces', 'Surface 81 m²', '3 chambres', '1 salle de bain/eau', 'Terrain 263 m²']","['Terrasse', 'Garage', '1 place de parking']",Maison,4.0,254000,3.0,81.0,4.0,1.0,,263.0,False,True,False,False,False,False,False,True,False,False,False,False,True,False,
Maison à vendre,3 pièces •,Étréchy,237 000 €,"['3 pièces', 'Surface 96 m²', '2 chambres', '1 salle de bain/eau', 'Terrain 250 m²', 'Séjour 35 m²']","['Grenier', 'Terrasse', 'Dépendance', 'Cave', 'Avec jardin privatif']",Maison,3.0,237000,2.0,96.0,3.0,1.0,35.0,250.0,False,False,True,True,False,False,True,False,False,True,False,False,True,False,
Maison à vendre,5 pièces •                            111 m2,Orsay,485 000 €,"['5 pièces', 'Surface 111 m²', '4 chambres', '2 salles de bain/eau', 'Terrain 200 m²']","['Terrasse', 'Balcon', 'Garage', 'Avec jardin privatif']",Maison,5.0,485000,4.0,111.0,5.0,2.0,,200.0,False,False,True,False,False,False,False,True,False,False,False,False,True,True,
Appartement à vendre,"3 pièces •                            69,36 m2",Sainte-Geneviève-des-Bois,211 000 €,"['3 pièces', 'Surface 69,36 m²', '2 chambres', '1 salle de bain/eau', 'Séjour 28,10 m²']","['Ascenseur', 'Balcon', 'Garage', 'Bâtiment composé de 4 étages', 'Étage 1']",Appartement,3.0,211000,2.0,69.0,3.0,1.0,28.0,,False,False,False,False,False,False,False,True,False,False,False,False,False,True,4.0
Maison à vendre,3 pièces •,Savigny-sur-Orge,299 000 €,"['3 pièces', 'Surface 71,50 m²', '2 chambres', 'Terrain 371 m²']","['Terrasse', '1 place de parking']",Maison,3.0,299000,2.0,71.0,3.0,,,371.0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,
Appartement à vendre,"3 pièces •                            58,74 m2",Savigny-sur-Orge,129 000 €,"['3 pièces', 'Surface 58,74 m²', '2 chambres', '3 salles de bain/eau', 'Séjour 20,52 m²']","['Ascenseur', 'Balcon', 'Cave', '1 place de parking', 'Bâtiment composé de 15 étages']",Appartement,3.0,129000,2.0,58.0,3.0,3.0,20.0,,False,True,False,True,False,False,False,False,False,False,False,False,False,True,15.0
Appartement à vendre,2 pièces •                            35 m2,Longjumeau,149 000 €,"['2 pièces', 'Surface 40 m²', '1 chambre', '1 salle de bain/eau', 'Séjour 14,58 m²']","['Terrasse', 'Garage']",Appartement,2.0,149000,,40.0,2.0,1.0,14.0,,False,False,False,False,False,False,False,True,False,False,False,False,True,False,
Maison à vendre,"4 pièces •                            67,29 m2",Crosne,250 000 €,"['4 pièces', 'Surface 73 m²', '3 chambres', '1 salle de bain/eau', 'Terrain 261 m²', 'Séjour 20,61 m²']","['Grenier', 'Terrasse', 'Garage', 'Dépendance', 'Avec jardin privatif']",Maison,4.0,250000,3.0,73.0,4.0,1.0,20.0,261.0,False,False,True,False,False,False,True,True,False,True,False,False,True,False,
